ingredient_id,ingredient_name
1,turkey
2,sausage
3,egg
4,onion
5,parsley
6,garlic
7,celery
8,clove
9,olive
10,ribs
11,butter
12,chicken
13,water
14,apple
15,bacon
16,carrot
17,cinnamon
18,sour cream
19,squash
20,potato
21,cumin
22,bell pepper
23,pepper
24,tomato
25,shrimp
26,rice
27,milk
28,sugar
29,coconut
30,dashima
31,mushroom
32,kombu
33,lemon
34,peach
35,vodka
36,muffin
37,cornmeal
38,gin
39,liqueur
40,whiskey
41,vermouth
42,cherry
43,orange
44,rye
45,bourbon
46,yeast
47,banana
48,peanut
49,vanilla
50,wine
51,white wine
52,cheddar
53,chive
54,anchovy
55,parmesan
56,zucchini
57,radish
58,noodle
59,ginger
60,tofu
61,vinegar
62,sauce
63,scallion
64,soy sauce
65,soy
66,capers
67,chile
68,pomegranate
69,molasses
70,paprika
71,walnut
72,curry
73,shallot
74,sesame
75,nut
76,chili
77,date
78,cilantro
79,rosemary
80,lamb
81,kumquat
82,spinach
83,nutmeg
84,brussels sprout
85,sage
86,thyme
87,chickpea
88,cheese
89,honey
90,lettuce
91,radicchio
92,fennel
93,mustard
94,dill
95,oregano
96,ricotta
97,mozzarella
98,basil
99,yogurt
100,mint
101,pea
102,feta
103,pork
104,arugula
105,tarragon
106,pumpkin
107,beef
108,buttermilk
109,quinoa
110,whole wheat
111,oat
112,sunflower seed
113,salsa
114,avocado
115,lime
116,truffle
117,bread
118,fontina
119,bean
120,ice cream
121,brandy
122,kirsch
123,lemongrass
124,sweet potato
125,coriander
126,chocolate
127,hazelnut
128,fish
129,corn
130,pear
131,almond
132,pie
133,cake
134,eggplant
135,barley
136,peanut butter
137,plum
138,pasta
139,pine nut
140,watermelon
141,coffee
142,cucumber
143,rhubarb
144,maple syrup
145,swiss cheese
146,pastry
147,leek
148,sugar snap pea
149,parsnip
150,turnip
151,sandwich
152,lobster
153,tea
154,raspberry
155,grape
156,pizza
157,broccoli
158,pistachio
159,cauliflower
160,apricot
161,currant
162,raisin
163,turmeric
164,cardamom
165,mayonnaise
166,cod
167,salmon
168,champagne
169,kale
170,pickle
171,cookie
172,cream cheese
173,fig
174,goat cheese
175,chard
176,oyster
177,cabbage
178,blue cheese
179,pecan
180,anise
181,horseradish
182,endive
183,ham
184,cranberry
185,rum
186,quark
187,saffron
188,duck
189,scallop
190,veal
191,cashew
192,tapioca
193,skim milk
194,mussel
195,melon
196,kohlrabi
197,prosciutto
198,wakame
199,candy
200,steak
201,rutabaga
202,lentil
203,bonito
204,clam
205,hummus
206,asparagus
207,tortillas
208,marshmallow
209,squid
210,swordfish
211,watercress
212,couscous
213,jam
214,tequila
215,hot pepper
216,cantaloupe
217,gelatin
218,sorbet
219,club soda
220,edible flower
221,nectarine
222,macadamia nut
223,pineapple
224,marzipan
225,grapefruit
226,strawberry
227,pesto
228,tomatillo
229,halibut
230,blood orange
231,prosecco
232,passion fruit
233,taco
234,mango
235,prune
236,snapper
237,chestnut
238,biscuit
239,pancake
240,seaweed
241,trout
242,rose petal
243,tilapia
244,tuna
245,persimmon
246,beer
247,jerusalem artichoke
248,crab
249,tamarind
250,wild rice
251,blackberry
252,bulgur
253,tangerine
254,wasabi
255,guava
256,quince
257,papaya
258,okra
259,gouda
260,citrus
261,kiwi
262,lemonade
263,cottage cheese
264,blueberry
265,quail
266,caviar
267,berry
268,plantain
269,yuca
270,venison
271,goose
